"","perf_metric","perf_metric_diff","pvalue","names","method","perf_metric_name","seed"
"1",1,0,1,"V1","glmnet","AUC",2019
"2",1,0,1,"V10","glmnet","AUC",2019
"3",1,0,1,"V100","glmnet","AUC",2019
"4",1,0,1,"V1000","glmnet","AUC",2019
"5",1,0,1,"V1001","glmnet","AUC",2019
"6",1,0,1,"V1002","glmnet","AUC",2019
"7",1,0,1,"V1003","glmnet","AUC",2019
"8",1,0,1,"V1004","glmnet","AUC",2019
"9",1,0,1,"V1005","glmnet","AUC",2019
"10",1,0,1,"V1006","glmnet","AUC",2019
"11",1,0,1,"V1007","glmnet","AUC",2019
"12",1,0,1,"V1008","glmnet","AUC",2019
"13",1,0,1,"V1009","glmnet","AUC",2019
"14",1,0,1,"V101","glmnet","AUC",2019
"15",1,0,1,"V1010","glmnet","AUC",2019
"16",1,0,1,"V1011","glmnet","AUC",2019
"17",1,0,1,"V1012","glmnet","AUC",2019
"18",1,0,1,"V1013","glmnet","AUC",2019
"19",1,0,1,"V1014","glmnet","AUC",2019
"20",1,0,1,"V1015","glmnet","AUC",2019
"21",1,0,1,"V1016","glmnet","AUC",2019
"22",1,0,1,"V1017","glmnet","AUC",2019
"23",1,0,1,"V1018","glmnet","AUC",2019
"24",1,0,1,"V1019","glmnet","AUC",2019
"25",1,0,1,"V102","glmnet","AUC",2019
"26",1,0,1,"V1020","glmnet","AUC",2019
"27",1,0,1,"V1021","glmnet","AUC",2019
"28",1,0,1,"V1022","glmnet","AUC",2019
"29",1,0,1,"V1023","glmnet","AUC",2019
"30",1,0,1,"V1024","glmnet","AUC",2019
"31",1,0,1,"V1025","glmnet","AUC",2019
"32",1,0,1,"V1026","glmnet","AUC",2019
"33",1,0,1,"V1027","glmnet","AUC",2019
"34",1,0,1,"V1028","glmnet","AUC",2019
"35",1,0,1,"V1029","glmnet","AUC",2019
"36",1,0,1,"V103","glmnet","AUC",2019
"37",1,0,1,"V1030","glmnet","AUC",2019
"38",1,0,1,"V1031","glmnet","AUC",2019
"39",1,0,1,"V1032","glmnet","AUC",2019
"40",1,0,1,"V1033","glmnet","AUC",2019
"41",1,0,1,"V1034","glmnet","AUC",2019
"42",1,0,1,"V1035","glmnet","AUC",2019
"43",1,0,1,"V1036","glmnet","AUC",2019
"44",1,0,1,"V1037","glmnet","AUC",2019
"45",1,0,1,"V1038","glmnet","AUC",2019
"46",1,0,1,"V1039","glmnet","AUC",2019
"47",1,0,1,"V104","glmnet","AUC",2019
"48",1,0,1,"V1040","glmnet","AUC",2019
"49",1,0,1,"V1041","glmnet","AUC",2019
"50",1,0,1,"V1042","glmnet","AUC",2019
"51",1,0,1,"V1043","glmnet","AUC",2019
"52",1,0,1,"V1044","glmnet","AUC",2019
"53",1,0,1,"V1045","glmnet","AUC",2019
"54",1,0,1,"V1046","glmnet","AUC",2019
"55",1,0,1,"V1047","glmnet","AUC",2019
"56",1,0,1,"V1048","glmnet","AUC",2019
"57",1,0,1,"V1049","glmnet","AUC",2019
"58",1,0,1,"V105","glmnet","AUC",2019
"59",1,0,1,"V1050","glmnet","AUC",2019
"60",1,0,1,"V1051","glmnet","AUC",2019
"61",1,0,1,"V1052","glmnet","AUC",2019
