"perf_metric","perf_metric_diff","pvalue","names","method","perf_metric_name","seed"
1,0,1,"V1","glmnet","AUC",NA
1,0,1,"V10","glmnet","AUC",NA
1,0,1,"V100","glmnet","AUC",NA
1,0,1,"V1000","glmnet","AUC",NA
1,0,1,"V1001","glmnet","AUC",NA
1,0,1,"V1002","glmnet","AUC",NA
1,0,1,"V1003","glmnet","AUC",NA
1,0,1,"V1004","glmnet","AUC",NA
1,0,1,"V1005","glmnet","AUC",NA
1,0,1,"V1006","glmnet","AUC",NA
1,0,1,"V1007","glmnet","AUC",NA
1,0,1,"V1008","glmnet","AUC",NA
1,0,1,"V1009","glmnet","AUC",NA
1,0,1,"V101","glmnet","AUC",NA
1,0,1,"V1010","glmnet","AUC",NA
1,0,1,"V1011","glmnet","AUC",NA
1,0,1,"V1012","glmnet","AUC",NA
1,0,1,"V1013","glmnet","AUC",NA
1,0,1,"V1014","glmnet","AUC",NA
1,0,1,"V1015","glmnet","AUC",NA
1,0,1,"V1016","glmnet","AUC",NA
1,0,1,"V1017","glmnet","AUC",NA
1,0,1,"V1018","glmnet","AUC",NA
1,0,1,"V1019","glmnet","AUC",NA
1,0,1,"V102","glmnet","AUC",NA
1,0,1,"V1020","glmnet","AUC",NA
1,0,1,"V1021","glmnet","AUC",NA
1,0,1,"V1022","glmnet","AUC",NA
1,0,1,"V1023","glmnet","AUC",NA
1,0,1,"V1024","glmnet","AUC",NA
1,0,1,"V1025","glmnet","AUC",NA
1,0,1,"V1026","glmnet","AUC",NA
1,0,1,"V1027","glmnet","AUC",NA
1,0,1,"V1028","glmnet","AUC",NA
1,0,1,"V1029","glmnet","AUC",NA
1,0,1,"V103","glmnet","AUC",NA
1,0,1,"V1030","glmnet","AUC",NA
1,0,1,"V1031","glmnet","AUC",NA
1,0,1,"V1032","glmnet","AUC",NA
1,0,1,"V1033","glmnet","AUC",NA
1,0,1,"V1034","glmnet","AUC",NA
1,0,1,"V1035","glmnet","AUC",NA
1,0,1,"V1036","glmnet","AUC",NA
1,0,1,"V1037","glmnet","AUC",NA
1,0,1,"V1038","glmnet","AUC",NA
1,0,1,"V1039","glmnet","AUC",NA
1,0,1,"V104","glmnet","AUC",NA
1,0,1,"V1040","glmnet","AUC",NA
1,0,1,"V1041","glmnet","AUC",NA
1,0,1,"V1042","glmnet","AUC",NA
1,0,1,"V1043","glmnet","AUC",NA
